/usr/local/lib/python2.7/dist-packages/sflock/decode/office.py:12: CryptographyDeprecationWarning: Python 2 is no longer supported by the Python core team. Support for it is now deprecated in cryptography, and will be removed in the next release.
  from cryptography.hazmat.backends import default_backend
2023-08-08 15:21:46,346 [cuckoo.core.startup] DEBUG: Imported modules...
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: Imported "auxiliary" modules:
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 |-- MITM
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 |-- Reboot
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 |-- Replay
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 |-- Services
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 `-- Sniffer
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: Imported "machinery" modules:
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 |-- vSphere
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 |-- KVM
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 |-- ESX
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- XenServer
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- VirtualBox
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- Avd
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- QEMU
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- VMware
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 `-- Physical
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: Imported "processing" modules:
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- AnalysisInfo
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- ApkInfo
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- Baseline
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- BehaviorAnalysis
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- Debug
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- Droidmon
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- Dropped
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- DroppedBuffer
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- Extracted
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- GooglePlay
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- Irma
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- Memory
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- MetaInfo
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- MISP
2023-08-08 15:21:46,370 [cuckoo.core.startup] DEBUG: 	 |-- NetworkAnalysis
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- ProcessMemory
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- Procmon
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- Screenshots
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- Snort
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- Static
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- Strings
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- Suricata
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- TargetInfo
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- TLSMasterSecrets
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 `-- VirusTotal
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: Imported "signatures" modules:
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidAbortBroadcast
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidAccountInfo
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidAppInfo
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidAudio
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidCamera
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidDangerousPermissions
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidDeletedApp
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidDynamicCode
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidEmbeddedApk
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidGooglePlayDiff
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidInstalledApps
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidNativeCode
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidPhoneNumber
2023-08-08 15:21:46,371 [cuckoo.core.startup] DEBUG: 	 |-- AndroidPrivateInfoQuery
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- AndroidReflectionCode
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- AndroidRegisteredReceiver
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- AndroidShellCommands
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- AndroidSMS
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- AndroidStopProcess
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- ApplicationUsesLocation
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- KnownVirustotal
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- AntiAnalysisJavascript
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- DumpedBuffer
